Method,cookie,lenght,content,classification,url_params,url
GET,81761ACA043B0E6014CA42A4BCD06AB5,0,,0,id=3&nombre=Vino+Rioja&precio=100&cantidad=55&B1=A%F1adir+al+carrito,/tienda1/publico/anadir.jsp?id=3&nombre=Vino+Rioja&precio=100&cantidad=55&B1=A%F1adir+al+carrito
POST,933185092E0B668B90676E0A2B0767AF,68,id=3&nombre=Vino+Rioja&precio=100&cantidad=55&B1=A%F1adir+al+carrito,0,,/tienda1/publico/anadir.jsp
GET,8FA18BA82C5336D03D3A8AFA3E68CBB0,0,,0,modo=entrar&login=choong&pwd=d1se3ci%F3n&remember=off&B1=Entrar,/tienda1/publico/autenticar.jsp?modo=entrar&login=choong&pwd=d1se3ci%F3n&remember=off&B1=Entrar
GET,5254A7A7C7F0E74D699E6A9C9487795A,0,,0,id=2,/tienda1/publico/caracteristicas.jsp?id=2
POST,EE6A06EE8174FC2B05432AA5A0FCE998,33,errorMsg=Credenciales+incorrectas,0,,/tienda1/publico/entrar.jsp
GET,42B23D5507A66FAEC034AB34847F8CE2,0,,0,,/tienda1/publico/miembros.jsp
GET,535529056CAF606E044AC8C76F6E6C40,0,,0,modo=insertar&precio=2672&B1=Pasar+por+caja,/tienda1/publico/pagar.jsp?modo=insertar&precio=2672&B1=Pasar+por+caja
POST,5834A2A40DC1EACB123DE8738E30D52A,43,modo=insertar&precio=2672&B1=Pasar+por+caja,0,,/tienda1/publico/pagar.jsp
GET,346A931E26714C942FB6C6C3FF7913C5,0,,0,modo=registro&login=cen&password=40a5E&nombre=Nurit&apellidos=Ferrandez+Caba%F1as&email=tarpey%40bwds.ne&dni=17621392B&direccion=Calle+Clavel+30+11%3FB&ciudad=Tronch%F3n&cp=17463&provincia=C%E1ceres&ntc=1527409541807001&B1=Registrar,/tienda1/publico/registro.jsp?modo=registro&login=cen&password=40a5E&nombre=Nurit&apellidos=Ferrandez+Caba%F1as&email=tarpey%40bwds.ne&dni=17621392B&direccion=Calle+Clavel+30+11%3FB&ciudad=Tronch%F3n&cp=17463&provincia=C%E1ceres&ntc=1527409541807001&B1=Registrar
POST,DF3FCBD5821C0C00DDF524DC1ED7EDD4,232,modo=registro&login=cen&password=40a5E&nombre=Nurit&apellidos=Ferrandez+Caba%F1as&email=tarpey%40bwds.ne&dni=17621392B&direccion=Calle+Clavel+30+11%3FB&ciudad=Tronch%F3n&cp=17463&provincia=C%E1ceres&ntc=1527409541807001&B1=Registrar,0,,/tienda1/publico/registro.jsp
GET,AA479100989A242EDF232875DECF6D06,0,,0,B2=Vaciar+carrito,/tienda1/publico/vaciar.jsp?B2=Vaciar+carrito
GET,1F0B6201E9DD3AEC924D8EA8E9C062FE,0,,0,,/tienda1/global/creditos.jsp
GET,F8D17CCAA4929806CEF2424E924302C0,0,,0,,/tienda1/global/menum.jsp
GET,D5A7FC547D1C431E76488C5BB852CB81,0,,0,,/tienda1/global/titulo.jsp
GET,41AED59FCA1A24EC4E8D4272497DA95B,0,,0,,/tienda1/global/estilos.css
GET,0F4BB0464203F81470B6A8C4D74FFDC4,0,,0,,/tienda1/miembros/imagenes/castro.jpg
GET,462034EF1BF971E6DEF0D55A1C06050C,0,,0,,/tienda1/miembros/imagenes/zarauz.jpg
GET,1204D525BCD31ED9B3B19A057EF662BA,0,,0,,/tienda1/miembros/index.jsp
GET,F7EA634432AC148B2A89187FEE7F582F,0,,0,modo=registro&login=de_la&password=roder%F3n&nombre=Franklin&apellidos=Canella&email=pockaj-bushman%40lecriture.md&dni=29283698Y&direccion=Calle+Palencia+S%2FN+&ciudad=Tirapu&cp=25320&provincia=Madrid&ntc=4789967077221120&B1=Registrar,/tienda1/miembros/editar.jsp?modo=registro&login=de_la&password=roder%F3n&nombre=Franklin&apellidos=Canella&email=pockaj-bushman%40lecriture.md&dni=29283698Y&direccion=Calle+Palencia+S%2FN+&ciudad=Tirapu&cp=25320&provincia=Madrid&ntc=4789967077221120&B1=Registrar
POST,AC4D5FF14223F222FF7A37D2D0989014,234,modo=registro&login=de_la&password=roder%F3n&nombre=Franklin&apellidos=Canella&email=pockaj-bushman%40lecriture.md&dni=29283698Y&direccion=Calle+Palencia+S%2FN+&ciudad=Tirapu&cp=25320&provincia=Madrid&ntc=4789967077221120&B1=Registrar,0,,/tienda1/miembros/editar.jsp
GET,39CAAF3914B971D53AE35EA02C9CF663,0,,0,,/tienda1/miembros/fotos.jsp
GET,9FAC5DB921404EB7F1112B849C4484B2,0,,0,,/tienda1/miembros/salir.jsp
GET,AEE455B611E53A580F505235594AF05E,0,,0,,/tienda1/imagenes/2.gif
GET,DF2C44183EBB7CCBD80CDDEC61E78147,0,,0,,/tienda1/imagenes/3.gif
GET,7045855D03EFE6644628E4D72DDA5778,0,,0,,/tienda1/index.jsp
GET,D05D94407E8B32251A9935C2A300F552,0,,0,id=3&nombre=Queso+Manchego&precio=100&cantidad=55&B1=A%F1adir+al+carrito,/tienda1/publico/anadir.jsp?id=3&nombre=Queso+Manchego&precio=100&cantidad=55&B1=A%F1adir+al+carrito
POST,212B64CBB9CE9397C5F0BCAA3D03367F,72,id=3&nombre=Queso+Manchego&precio=100&cantidad=55&B1=A%F1adir+al+carrito,0,,/tienda1/publico/anadir.jsp
GET,2812CFE8B50583770752F61CDFDAD0C2,0,,0,modo=entrar&login=magrath&pwd=1an0re%E15354&remember=off&B1=Entrar,/tienda1/publico/autenticar.jsp?modo=entrar&login=magrath&pwd=1an0re%E15354&remember=off&B1=Entrar
GET,E1E79BADB84D8120BF862C99458A73D8,0,,0,id=1,/tienda1/publico/caracteristicas.jsp?id=1
POST,0652708C44A76B6A522544E37DFF5139,4,id=1,0,,/tienda1/publico/caracteristicas.jsp
GET,560392F229432918C98DB345E2974E7E,0,,0,errorMsg=Credenciales+incorrectas,/tienda1/publico/entrar.jsp?errorMsg=Credenciales+incorrectas
POST,D61014DC80E94ECD8F3539238934D24E,33,errorMsg=Credenciales+incorrectas,0,,/tienda1/publico/entrar.jsp
